Wtorek,26,Luty,2019,17:18:58:00007-VCID:71E963C53BA91DC222-4B18,Wersja VCDS: AKP 18.9.1,Wersja danych: 20190205 DS296.0
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D03,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'002,,,,Grupa C:,'025
,,,,,,,,,,,,,Idle speed,Engine load,Inj. period,Air mass in,,Spec. load,Load correc.,Actual load,Valve cycle
,CZAS,,,,,,,,,,,CZAS,800-920 rpm,0.5-1.5 m/s,1.00-3.00 m/s,1.8-4 g/s,CZAS,3-8 m/s,0-8 m/s,0.5-8 m/s,0-99%
Znacznik,ZAPISU,,,,,,,,,,,ZAPISU, /min, ms, ms, g/s,ZAPISU, ms, ms, ms, %
,,,,,,0.25,880,0.95,1.98,2.78,0.01,4.65,6.75,1.00,0.0
,,,,,,0.75,880,1.00,2.18,2.84,0.50,4.65,6.75,1.00,0.0
,,,,,,1.24,880,1.15,2.50,3.33,1.00,4.65,6.75,1.00,0.0
,,,,,,1.75,1200,2.00,4.48,7.71,1.50,4.65,6.75,1.70,0.0
,,,,,,2.27,1360,2.00,3.97,8.82,2.01,4.85,6.75,2.00,0.0
,,,,,,2.80,1440,2.40,4.74,11.25,2.53,4.90,6.75,2.25,0.0
,,,,,,3.32,1200,2.60,5.38,10.07,3.06,4.95,6.75,2.45,0.0
,,,,,,3.84,1000,3.15,8.19,10.28,3.58,4.65,6.75,2.90,0.0
,,,,,,4.35,1360,4.25,9.41,18.75,4.09,4.70,6.75,3.70,0.0
,,,,,,4.85,1880,4.90,9.60,29.23,4.60,6.70,5.60,4.55,99.6
,,,,,,5.35,2480,6.10,13.63,48.19,5.10,7.35,7.10,5.35,96.5
,,,,,,5.87,3200,7.20,16.06,73.89,5.61,7.05,7.15,6.70,65.2
,,,,,,6.38,4040,6.70,14.46,87.22,6.13,6.95,6.90,7.00,51.6
,,,,,,6.90,4800,6.80,15.04,103.61,6.64,6.95,6.90,6.70,57.4
,,,,,,7.43,5520,6.70,15.94,118.47,7.17,7.00,6.95,6.75,61.7
,,,,,,7.96,5280,2.40,2.24,41.46,7.70,6.60,6.75,6.60,61.3
,,,,,,8.47,4040,5.70,13.70,72.01,8.22,3.55,6.75,2.05,0.0
,,,,,,8.97,3920,7.15,15.81,88.89,8.72,6.90,6.25,7.25,53.9
,,,,,,9.49,4240,7.25,15.94,98.12,9.23,6.95,6.85,7.40,63.3
,,,,,,9.99,4560,7.20,15.87,104.37,9.75,6.95,6.90,7.25,64.8
,,,,,,10.50,4840,7.25,16.32,111.94,10.25,7.00,6.95,7.10,65.6
,,,,,,11.00,5160,7.20,16.32,118.12,10.75,7.00,6.95,7.15,67.6
,,,,,,11.50,5400,7.00,16.32,120.14,11.25,6.95,6.95,7.10,66.4
,,,,,,12.00,5640,6.80,16.32,122.57,11.75,6.90,6.85,6.85,65.2
,,,,,,12.51,5920,6.70,16.32,126.87,12.26,6.70,6.75,6.75,64.1
,,,,,,13.01,5240,1.55,1.92,28.06,12.76,3.15,6.60,2.70,0.0
,,,,,,13.52,4320,1.10,2.11,15.34,13.27,3.60,6.60,1.30,0.0
,,,,,,14.04,3520,0.85,1.60,10.07,13.78,4.05,6.60,0.85,0.0
,,,,,,14.56,2800,0.95,1.86,8.61,14.30,4.50,6.60,0.90,0.0
,,,,,,15.07,2120,1.10,2.18,7.57,14.81,4.80,6.60,0.95,0.0
,,,,,,15.59,1560,1.50,4.74,7.50,15.33,5.05,6.60,1.30,0.0
,,,,,,16.09,1360,1.00,1.98,4.51,15.84,5.00,6.60,1.25,0.0
